Transaction_ID,Company_ID,Product_ID,Quantity,Transaction_Date,Product_Price_x,Total_Cost,Recency,Purchase_Frequency,Total_Spending,Product_Name,Product_Price_y,Price_Range,Company_Name,Company_Profit,Address,Profitability_Category,Region
1.0,88.0,6.0,11.0,2024-03-26,194379.14796406127,1075200.0,216.0,82.0,128878400.0,RevenueVue Dashboard,179200.0,High,Elite Consulting 88,75950.0,"EDSA, Barangay 456, Taguig, Philippines",Medium, Barangay 456
2.0,29.0,19.0,16.0,,97930.9933803618,1428000.0,730.5,69.0,121996000.0,EcoNomix Modeler,95200.0,Medium,Sky  Industries  29,61952.0,"Edsa, brgy. 606, makati, philippines!",Medium, brgy. 606
4.0,85.0,12.0,12.0,,131297.7835158749,1008000.0,730.5,89.0,126061600.0,BudgetMaster Pro,84000.0,Medium,Green Ventures 85,113470.0,"EDSA, Barangay 707, Cebu City, Philippines",High, Barangay 707
5.0,47.0,3.0,8.0,,99575.60963363378,705600.0,730.5,60.0,86553600.0,TrendWise Forecaster,100800.0,High,Green  Industries  47,31130.0,"Taft Ave, Barangay 707, Mandaluyong, Philippines",Low, Barangay 707
6.0,80.0,11.0,4.0,2021-07-12,160658.67535045007,627200.0,1204.0,90.0,150315200.0,OptiFlow Automation,156800.0,High,Green  Partners  80,111227.0,"Commonwealth Ave, Barangay 202, Manila, Philippines",High, Barangay 202
7.0,50.0,10.0,14.0,2023-11-01,133548.74970964075,1960000.0,362.0,82.0,127898400.0,SegmentX Targeting,89600.0,Medium,Sky Associates 50,32118.0,"Alabang-Zapote Rd, Brgy. 303, Baguio, Philippines",Low, Brgy. 303
8.0,21.0,20.0,7.0,,229217.9414680993,1792000.0,730.5,89.0,160216000.0,FinSphere Intelligence Suite,224000.0,High,Dynamic Enterprises 21,75301.5,"Ortigas Ave, Barangay 707, Davao City, Philippines",Medium, Barangay 707
9.0,96.0,1.0,14.0,,144758.78325409137,1344000.0,730.5,81.0,120534400.0,FinPredictor Suite,140000.0,High,Dynamic  Network  96,101428.0,"Alabang-Zapote Rd, Brgy. 456, Cebu City, Philippines",High, Brgy. 456
10.0,3.0,20.0,6.0,,238293.8513034097,1120000.0,730.5,80.0,116026400.0,FinSphere Intelligence Suite,224000.0,High,Quantum Associates 3,110664.0,"Roxas Blvd, Barangay 505, Pasig, Philippines",High, Barangay 505
12.0,50.0,1.0,17.0,,135382.94960890236,2520000.0,730.5,82.0,127898400.0,FinPredictor Suite,140000.0,High,Sky Associates 50,32118.0,"Alabang-Zapote Rd, Brgy. 303, Baguio, Philippines",Low, Brgy. 303
13.0,50.0,12.0,15.0,,82352.48264946515,1260000.0,730.5,82.0,127898400.0,BudgetMaster Pro,84000.0,Medium,Sky Associates 50,32118.0,"Alabang-Zapote Rd, Brgy. 303, Baguio, Philippines",Low, Brgy. 303
15.0,66.0,12.0,17.0,,79380.52059221058,1428000.0,730.5,91.0,159219200.0,BudgetMaster Pro,84000.0,Medium,Sky Ent.s 66,99381.0,"SLEX, Barangay 202, Parañaque, Philippines",Medium, Barangay 202
16.0,43.0,7.0,1.0,,131297.7835158749,302400.0,730.5,71.0,110919200.0,DataBridge Integration Tool,151200.0,High,Quantum Network 43,113336.0,"Ortigas Ave, Barangay 404, Cebu City, Philippines",High, Barangay 404
17.0,27.0,12.0,16.0,,85093.63619248601,1428000.0,730.5,90.0,137928000.0,BudgetMaster Pro,84000.0,Medium,Elite Corp 27,45064.0,"SLEX, Brgy. 606, Pasig, Philippines",Low, Brgy. 606
5005.0,57.0,10.0,6.0,2022-07-10,131297.7835158749,627200.0,841.0,72.0,96924800.0,SegmentX Targeting,89600.0,Medium,Pioneer Corp 57,118114.0,"Katipunan ave, barangay 456, parañaque, philippines",High, barangay 456
19.0,76.0,3.0,19.0,,106544.97925907635,1814400.0,730.5,91.0,150556000.0,TrendWise Forecaster,100800.0,High,Tech Ventures 76,75301.5,"Commonwealth Ave, Barangay 202, Cebu City, Philippines",Medium, Barangay 202
21.0,88.0,13.0,11.0,2024-09-08,210759.80144895677,392000.0,50.0,82.0,128878400.0,ForecastXcelerator ,196000.0,High,Elite Consulting 88,75950.0,"EDSA, Barangay 456, Taguig, Philippines",Medium, Barangay 456
5005.0,25.0,18.0,2.0,,123745.15804172322,1344000.0,730.5,84.0,119246400.0,DashSync Analytics Hub,134400.0,High,Green Holdings 25,36659.0,"Ortigas Ave, Barangay 606, Pasig, Philippines",Low, Barangay 606
23.0,46.0,17.0,11.0,,160605.71063159578,1176000.0,730.5,75.0,123597600.0,RealTime Revenue,168000.0,High,Dynamic Ventures 46,93219.0,"SLEX, Barangay 789, Pasig, Philippines!",Medium, Barangay 789
24.0,70.0,1.0,19.0,2021-05-03,145162.09735915158,2660000.0,1274.0,87.0,134008000.0,FinPredictor Suite,140000.0,High,Prime Network 70,62252.0,"Alabang-Zapote Rd, Barangay 456, Baguio, Philippines",Medium, Barangay 456
25.0,79.0,19.0,3.0,,102391.22712875452,190400.0,730.5,86.0,125854400.0,EcoNomix Modeler,95200.0,Medium,Sky Ventures 79,83106.0,"Alabang-Zapote Rd, Barangay 505, Parañaque, Philippines",Medium, Barangay 505
5005.0,93.0,9.0,11.0,,131297.7835158749,1792000.0,730.5,87.0,143584000.0,Product 9,112000.0,High,Innovative Holdings 93,79192.0,"EDSA, Barangay 789, Davao City, Philippines",Medium, Barangay 789
27.0,50.0,14.0,18.0,2023-03-01,124948.88111462102,2447200.0,607.0,82.0,127898400.0,InsightMax Insights Platform,128800.0,High,Sky Associates 50,32118.0,"Alabang-Zapote Rd, Brgy. 303, Baguio, Philippines",Low, Brgy. 303
28.0,3.0,19.0,10.0,,103377.92636864162,952000.0,730.5,80.0,116026400.0,EcoNomix Modeler,95200.0,Medium,Quantum Associates 3,110664.0,"Roxas Blvd, Barangay 505, Pasig, Philippines",High, Barangay 505
29.0,24.0,11.0,5.0,,142284.83462551606,1344000.0,730.5,85.0,141540000.0,OptiFlow Automation,156800.0,High,Tech  Solutions  24,89757.0,"Alabang-Zapote Rd, Barangay 456, Mandaluyong, Philippines",Medium, Barangay 456
30.0,100.0,9.0,10.0,,107914.37933409296,1232000.0,730.5,78.0,120097600.0,Product 9,112000.0,High,Global Solutions 100,75301.5,"Ayala avenue, barangay 456, taguig, philippines",Medium, barangay 456
32.0,23.0,7.0,11.0,,158091.28746141505,151200.0,730.5,78.0,135682400.0,DataBridge Integration Tool,151200.0,High,Prime Corp 23,75301.5,"Slex, barangay 505, manila, philippines",Medium, barangay 505
35.0,49.0,19.0,6.0,,131297.7835158749,476000.0,730.5,106.0,175616000.0,EcoNomix Modeler,95200.0,Medium,Tech Holdings 49,115517.0,"Edsa, barangay 303, quezon city, philippines",High, barangay 303
